DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,405,the lineup :-) #POPTOPIA https://t.co/HfgLQwiYpk
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,22446,A.J. Shively 💙 . Photographed at the gorgeous @sf_curran theater for opening night of Bright… https://t.co/K5375aZPrA
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,15549,#iPhoneX #LendMN #NewYearGiveAway #AppleFlagshipStore Check out facebook/LendMN page if you want… https://t.co/0MMeTVTHno
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],12.600000000000001,0,702,All I want for Christmas is.....   Sharks gear. 🦈
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,420,I just wanna cry with other weirdos tonight
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],9.02,0,4637,#CHRISTMAS Gift from my son Michael..BOWLING for Dollars! @EarlAnthonyBowling in Dublin! @ Earl… https://t.co/Lu3acjpwKb
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,220,I don’t want to live a life that was comprehensive.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,401,My Uber drivers car smells just like my dad’s.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],18.4,0,344,So happy to be with Joell rn I missed my fuckin dawg sj hit us up let's fuckin party 🎉
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,401,"Hi, Dad."
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,1447,Found a Clipper card a few days ago. Got around to checking its contents - $8.15! That's enough for two trips Berke… https://t.co/ZhCXuTmj4N
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,834,Ima fuck a bitch up
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],13.15,0,16513,"@levelsio @hoodmapsapp ""... That work at Google Mountain View and take the shuttle"""
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,302,What is happening https://t.co/aYhSq0BqMH
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,348,"We're #hiring! Click to apply: shift supervisor - Store# 05854, SILVER CREEK @ BEAUMONT CANYON -… https://t.co/bYpVnNNf9C"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,253,Extremely convenient of @FOXSports and @espn to have both championship games at the same time tonight. Good job all around.
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,4989,"UH .  arsh has met liam x2 , nick jonas , charlie puth , why don’t we , and she’s about to meet khalid in the span of TWO days . how-"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,1026,"I'm at 39 Boardman in San Francisco, CA https://t.co/pUqV53ZMsD"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,433,"If you're looking for work in #Oakland, CA, check out this #job: https://t.co/J13R7OzumO #CustomerService #Hiring #CareerArc"
